time,open,high,low,close,Volume,ATR
1737353280,26.344,26.354,26.235,26.263,36,0.08716166393857662
1737353400,26.263,26.263,26.189,26.199,32,0.08622154508582126
1737353520,26.199,26.352,26.199,26.348,64,0.09099143472254823
1737353640,26.348,26.377,26.319,26.372,407,0.08863490367093763
1737353760,26.372,26.372,26.193,26.193,45,0.09508955340872768
1737353880,26.193,26.205,26.152,26.181,94,0.09208315673667551
1737354000,26.181,26.255,26.181,26.242,70,0.0907915026840557
1737354120,26.242,26.254,26.153,26.153,49,0.0915206810637662
1737354240,26.153,26.202,26.125,26.176,613,0.0904834895592116
1737354360,26.176,26.18,26.125,26.159,71,0.08794895459069647
1737354480,26.159,26.159,26.036,26.094,506,0.09045260069136084
1737354600,26.094,26.156,26.066,26.095,121,0.09042027207054934
1737354720,26.095,26.191,26.064,26.181,44,0.09303310977979573
1737354840,26.181,26.199,26.102,26.167,63,0.09331645908123898
1737354960,26.167,26.204,26.145,26.193,151,0.09086528343257913
1737355080,26.193,26.231,26.173,26.2,125,0.08851776318739514
1737355200,26.2,26.29,26.2,26.29,334,0.08862363724543833
1737355320,26.29,26.392,26.29,26.392,336,0.08957909172790704
1737355440,26.392,26.54,26.391,26.493,726,0.09382344231877089
1737355560,26.493,26.59,26.493,26.564,352,0.09405033929600164
1737355680,26.564,26.817,26.564,26.774,1649,0.10540388648914438
1737355800,26.774,26.936,26.759,26.882,745,0.11051789459706261
1737355920,26.882,27.034,26.864,27.034,2000,0.11476661641155801
1737356040,27.034,27.364,27.034,27.343,1321,0.13014042952501828
1737356160,27.343,27.369,27.001,27.028,2159,0.14713039884465973
1737356280,27.028,27.155,26.889,27.076,1279,0.15562108464146987
1737356400,27.076,27.343,27.019,27.343,2984,0.16764815002422215
1737356520,27.343,27.43,27.17,27.323,776,0.17424471073677755
1737356640,27.323,27.581,27.323,27.521,1371,0.18022723139843624
1737356760,27.521,28.013,27.498,27.811,5321,0.2041395720128337
1737356880,27.811,27.998,27.695,27.731,7022,0.2112010311547742
1737357000,27.731,27.808,27.663,27.808,798,0.20647238607229032
1737357120,27.808,27.858,27.691,27.707,490,0.2036529299242697
1737357240,27.707,27.768,27.689,27.709,788,0.19474914921539335
1737357360,27.709,27.709,27.513,27.585,852,0.19483849570000797
1737357480,27.585,27.608,27.447,27.584,1254,0.19242146029286464
1737357600,27.584,27.615,27.423,27.479,981,0.19239135598623144
1737357720,27.479,27.479,27.269,27.311,2649,0.19364911627292924
1737357840,27.311,27.403,27.291,27.379,491,0.18781703653914847
1737357960,27.379,27.508,27.378,27.405,434,0.1836872482149235
1737358080,27.405,27.497,27.364,27.43,148,0.18006673048528604
1737358200,27.43,27.466,27.357,27.39,423,0.17499053545062287
1737358320,27.39,27.409,27.232,27.241,1477,0.1751340686327212
1737358440,27.241,27.247,27.113,27.14,1666,0.17219592087324115
1737358560,27.14,27.175,26.974,27.055,1132,0.1742533550965811
1737358680,27.055,27.208,27.03,27.197,408,0.17452097258968227
1737358800,27.197,27.228,27.07,27.099,234,0.17334090311899078
1737358920,27.099,27.241,27.068,27.22,293,0.1733165528962056
1737359040,27.22,27.307,27.219,27.255,277,0.1672225134036193
1737359160,27.255,27.32,27.194,27.194,152,0.16427804816050373
1737359280,27.194,27.332,27.187,27.332,2126,0.1629010447204677
1737359400,27.332,27.332,27.211,27.212,216,0.15990811295472018
1737359520,27.212,27.247,27.173,27.242,434,0.15377181917224028
1737359640,27.242,27.28,27.15,27.15,455,0.15207383208850903
1737359760,27.15,27.229,27.15,27.165,22,0.14685427265361556
1737359880,27.165,27.165,27.052,27.103,211,0.14443611032121442
1737360000,27.103,27.219,27.103,27.206,579,0.1424049595839848
1737360120,27.206,27.257,27.134,27.246,295,0.14101889104227167
1737360240,27.246,27.246,27.19,27.238,89,0.13494611311068064
1737360360,27.238,27.283,27.238,27.254,98,0.12852139074563215
1737360480,27.254,27.296,27.221,27.286,41,0.12469843426380123
1737360600,27.286,27.362,27.276,27.353,637,0.12193426038781532
1737360720,27.353,27.41,27.353,27.399,117,0.1172960989315427
1737360840,27.399,27.399,27.29,27.318,173,0.11670352043643263
1737360960,27.318,27.327,27.251,27.31,612,0.11379612611954462
1737361080,27.31,27.422,27.31,27.421,693,0.11366783139672014
1737361200,27.421,27.484,27.421,27.483,463,0.11004870058266887
1737361320,27.483,27.483,27.428,27.435,282,0.10611665054104966
1737361440,27.435,27.468,27.385,27.426,47,0.10446546121668886
1737361560,27.426,27.48,27.426,27.436,27,0.10086078541549694
1737361680,27.436,27.449,27.384,27.384,130,0.09829930074296153
1737361800,27.384,27.421,27.314,27.419,720,0.09892077926132137
1737361920,27.419,27.493,27.419,27.47,774,0.09714072359979828
1737362040,27.47,27.508,27.458,27.467,147,0.09377352905695559
1737362160,27.467,27.467,27.385,27.418,48,0.09293256269574426
1737362280,27.418,27.45,27.406,27.422,66,0.08943737964604828
1737362400,27.422,27.442,27.342,27.342,55,0.0901918525284735
1737362520,27.342,27.356,27.296,27.296,673,0.0880352916335827
1737362640,27.296,27.301,27.281,27.3,36,0.08317562794546962
1737362760,27.3,27.3,27.198,27.223,153,0.08452022594936467
1737362880,27.223,27.258,27.175,27.175,79,0.08441163838155279
1737363000,27.175,27.241,27.175,27.219,12,0.08309652135429893
1737363120,27.219,27.27,27.21,27.265,238,0.08144676982899178
1737363240,27.265,27.274,27.234,27.25,430,0.07848628626977802
1737363360,27.25,27.268,27.25,27.255,166,0.07416583725050821
1737363480,27.255,27.275,27.217,27.273,118,0.07301113458975761
1737363600,27.273,27.308,27.203,27.203,28,0.07529605354763211
1737363720,27.203,27.24,27.197,27.237,33,0.07298919257994406
1737363840,27.237,27.291,27.237,27.291,31,0.07163282168137676
1737363960,27.291,27.341,27.291,27.323,258,0.07008762013270704
1737364080,27.323,27.363,27.308,27.362,546,0.06900993298037081
1737364200,27.362,27.366,27.24,27.24,154,0.07308065205320156
1737364320,27.24,27.298,27.234,27.267,96,0.0724320340494012
1737364440,27.267,27.289,27.243,27.247,25,0.07054403161730131
1737364560,27.247,27.29,27.174,27.174,698,0.07379088650177977
1737364680,27.174,27.207,27.173,27.207,36,0.0709486803230814
1737364800,27.207,27.207,27.152,27.152,53,0.0698094888714327
1737364920,27.152,27.152,27.084,27.113,1080,0.06968023966633047
1737365040,27.113,27.113,26.939,26.984,578,0.0771316511187354
1737365160,26.984,27.017,26.921,26.921,541,0.07847939032454002
1737365280,26.921,27.011,26.921,27.011,1939,0.0793022910156443
1737365400,27.011,27.122,27.011,27.105,336,0.08156641308595547
1737365520,27.105,27.105,26.961,26.983,235,0.08602595500838736
1737365640,26.983,26.983,26.944,26.957,79,0.08266695822207408
1737365760,26.957,27.011,26.923,26.923,443,0.08304788977764029
1737365880,26.923,26.923,26.849,26.855,558,0.08240161193638014
